id,name,gender,age,city,state,job,income,score,loans
102592,Victor Barman,Female,56,Mysuru,Karnataka,Self Employed,137903,569,1
102593,Yauvani Nayar,Male,59,Jabalpur,Madhya Pradesh,Business Owner,125237,680,3
102594,Shravya Sibal,Female,23,Lucknow,Uttar Pradesh,Professional,91255,609,1
102595,Nilima Pillai,Male,40,Kolkata,West Bengal,Professional,204609,758,1
102596,Edhitha Mahajan,Female,37,Warangal,Telangana,Professional,187935,637,3
102597,Aryan Gola,Female,48,Mumbai,Maharashtra,Salaried,71130,716,2
102598,Vivaan Lanka,Female,21,Mumbai,Maharashtra,Salaried,152974,619,0
102599,Jagrati Butala,Female,56,Mysuru,Karnataka,Business Owner,165651,768,1
102600,Yachana Varghese,Male,45,Hyderabad,Telangana,Salaried,212339,709,0
102601,Aradhana Kari,Male,53,Warangal,Telangana,Salaried,99524,512,2
102602,Jagat Bora,Male,41,Mysuru,Karnataka,Salaried,96473,605,0
102603,Balvan Iyer,Male,50,Mumbai,Maharashtra,Salaried,55630,570,1
102604,Ronith Narayan,Female,33,Bhopal,Madhya Pradesh,Salaried,212097,681,4
102605,Chasmum Maharaj,Female,59,Coimbatore,Tamil Nadu,Salaried,53696,672,4
102606,Lakshit Lal,Male,43,Chennai,Tamil Nadu,Professional,207717,795,0
102607,Chandani Manda,Male,26,Hubballi,Karnataka,Professional,112684,697,0
102608,Netra Ravi,Female,39,Warangal,Telangana,Salaried,34991,713,0
102609,Urmi Vala,Female,30,Lucknow,Uttar Pradesh,Salaried,151632,693,0
102610,Mitali Kari,Female,36,Mangaluru,Karnataka,Salaried,205571,567,1
102611,Shaurya Som,Female,33,Bhopal,Madhya Pradesh,Salaried,140251,716,2
102612,Zaitra Sidhu,Male,42,Mysuru,Karnataka,Salaried,89115,708,0
102613,Harini Chada,Male,22,Vadodara,Gujarat,Business Owner,134151,752,0
102614,Raghav Sanghvi,Male,46,Siliguri,West Bengal,Self Employed,65831,704,4
102615,Shaurya Sarna,Female,25,Hyderabad,Telangana,Business Owner,152364,774,0
102616,Ayushman Prasad,Female,50,Jaipur,Rajasthan,Self Employed,52988,676,2
102617,Kabir Mody,Female,57,Udaipur,Rajasthan,Self Employed,43436,692,2
102618,Xalak Pant,Male,42,Warangal,Telangana,Salaried,144202,685,0
102619,Umang Saini,Female,38,Indore,Madhya Pradesh,Salaried,54975,802,0
102620,Netra Yogi,Male,49,Ahmedabad,Gujarat,Salaried,211035,638,2
102621,Eshana Bajaj,Male,39,Ahmedabad,Gujarat,Salaried,62718,724,1
102622,Liam Dube,Male,24,Navi Mumbai,Maharashtra,Salaried,138613,824,0
102623,Mahika Raj,Male,28,Siliguri,West Bengal,Self Employed,119314,710,0
102624,Mahika Bhatt,Female,47,Chennai,Tamil Nadu,Salaried,86111,712,1
102625,Raghav Soman,Male,49,New Delhi,Delhi,Professional,66998,828,0
102626,Falguni Seth,Male,53,Bhopal,Madhya Pradesh,Salaried,129360,712,2
102627,Girik Garg,Female,27,Delhi,Delhi,Business Owner,45450,850,0
102628,Peter Balay,Male,55,Delhi,Delhi,Business Owner,113365,564,2
102629,Avi Grover,Male,24,Hyderabad,Telangana,Salaried,88594,702,1
102630,Ekaraj Raju,Male,46,Jodhpur,Rajasthan,Self Employed,218995,679,0
102631,Samesh Kaul,Male,33,Udaipur,Rajasthan,Self Employed,195146,767,0
102632,Ekaraj Sha,Male,31,Madurai,Tamil Nadu,Business Owner,27654,613,0
102633,Jyoti Vasa,Male,59,Warangal,Telangana,Self Employed,86666,581,1
102634,Onveer Narain,Female,54,New Delhi,Delhi,Self Employed,70647,752,2
102635,Mahika Dugar,Female,45,Noida,Uttar Pradesh,Professional,134519,688,1
102636,Kai Yadav,Female,41,Jaipur,Rajasthan,Self Employed,140604,752,1
102637,Vanya Biswas,Male,56,Indore,Madhya Pradesh,Self Employed,83669,670,0
102638,Samuel De,Female,22,Bhopal,Madhya Pradesh,Salaried,23703,721,0
102639,Dayita Sankaran,Female,45,Aurangabad,Maharashtra,Salaried,77550,718,0
102640,Nathan Mukherjee,Male,52,Mysuru,Karnataka,Business Owner,64896,598,1
102641,Yadavi Shanker,Female,21,Kanpur,Uttar Pradesh,Business Owner,103853,507,0
102642,Saksham Amble,Male,53,Jaipur,Rajasthan,Business Owner,180686,661,0
102643,Sanaya Bhatt,Female,26,Vadodara,Gujarat,Professional,125066,770,1
102644,Yatin Vora,Female,33,Jodhpur,Rajasthan,Salaried,213546,578,0
102645,Vritti Sharma,Male,37,Pune,Maharashtra,Business Owner,206500,639,0
102646,Balveer Chand,Male,36,Indore,Madhya Pradesh,Self Employed,206454,760,1
102647,Tanmayi Palan,Female,58,New Delhi,Delhi,Business Owner,164112,724,0
102648,Mahika Gill,Female,42,Ahmedabad,Gujarat,Salaried,124584,674,0
102649,Zaid Gola,Female,27,Warangal,Telangana,Salaried,49254,662,0
102650,Tanvi Rajagopalan,Female,22,Kolkata,West Bengal,Salaried,169277,632,0
102651,Girish Ramaswamy,Female,21,New Delhi,Delhi,Salaried,104899,699,1
102652,Wriddhish Dugar,Female,39,Kolkata,West Bengal,Salaried,217375,850,1
102653,Bishakha Bhavsar,Female,36,Noida,Uttar Pradesh,Self Employed,157166,634,3
102654,Wakeeta Sabharwal,Male,54,Mysuru,Karnataka,Business Owner,107888,713,3
102655,Jyoti Bose,Female,49,Surat,Gujarat,Salaried,136279,680,1
102656,Yamini Nanda,Male,28,Madurai,Tamil Nadu,Business Owner,171389,735,0
102657,Shravya Gala,Male,46,Ahmedabad,Gujarat,Salaried,216121,788,1
102658,Sarthak Toor,Male,31,Udaipur,Rajasthan,Salaried,144307,751,2
102659,Turvi Bala,Female,30,Bhopal,Madhya Pradesh,Salaried,76768,777,2
102660,Triya Raj,Male,24,Jodhpur,Rajasthan,Salaried,58876,759,2
102661,Mohini Hayer,Male,54,Jaipur,Rajasthan,Self Employed,87811,739,2
102662,Baljiwan Anne,Female,43,Agra,Uttar Pradesh,Business Owner,21084,695,2
102663,Ishwar Deshpande,Female,22,New Delhi,Delhi,Salaried,159072,778,0
102664,Ucchal Sundaram,Female,53,Madurai,Tamil Nadu,Salaried,104102,680,0
102665,Ekansh Butala,Female,52,Coimbatore,Tamil Nadu,Salaried,98443,744,2
102666,Raksha Dey,Female,40,Jodhpur,Rajasthan,Business Owner,216702,643,2
102667,Arya Edwin,Female,33,Siliguri,West Bengal,Salaried,89194,754,1
102668,Andrew Chaudhry,Female,23,Noida,Uttar Pradesh,Self Employed,145678,711,0
102669,Chaitaly Dash,Male,49,Jaipur,Rajasthan,Self Employed,202164,590,0
102670,Om Brahmbhatt,Male,38,Mysuru,Karnataka,Salaried,101613,742,2
102671,Anjali Dube,Male,26,Bhopal,Madhya Pradesh,Business Owner,38654,702,0
102672,Ishita Gokhale,Female,34,Delhi,Delhi,Salaried,174969,664,0
102673,Bakhshi Walia,Male,24,Hyderabad,Telangana,Self Employed,107877,713,1
102674,Riya Batta,Female,46,Mysuru,Karnataka,Self Employed,218110,676,1
102675,Madhavi Morar,Male,32,Kolkata,West Bengal,Self Employed,203276,706,1
102676,Charles Agrawal,Female,58,Vadodara,Gujarat,Salaried,29557,582,0
102677,Krishna Jaggi,Female,48,Ahmedabad,Gujarat,Self Employed,148219,701,0
102678,Kavya Khare,Female,26,Bengaluru,Karnataka,Business Owner,118771,606,1
102679,Gavin Babu,Male,58,Udaipur,Rajasthan,Salaried,178176,595,3
102680,Ayaan Atwal,Male,24,Warangal,Telangana,Business Owner,130462,669,0
102681,Rehaan Bhatnagar,Male,28,Pune,Maharashtra,Salaried,132670,617,0
102682,Gopal Ganesh,Male,51,Thane,Maharashtra,Self Employed,188821,675,2
102683,Chaitanya Sagar,Female,52,Kolkata,West Bengal,Self Employed,152405,654,2
102684,Eta Naidu,Female,24,Udaipur,Rajasthan,Business Owner,77388,673,0
102685,Sarthak Rana,Male,48,Madurai,Tamil Nadu,Salaried,167179,727,1
102686,Jai Kata,Female,27,Coimbatore,Tamil Nadu,Self Employed,124410,684,0
102687,Hitesh Parikh,Female,29,Delhi,Delhi,Business Owner,31657,612,3
102688,Oscar Aurora,Female,23,Hyderabad,Telangana,Salaried,33138,784,2
102689,Diya Arora,Male,53,Hyderabad,Telangana,Salaried,150774,669,1
102690,Simon Shanker,Female,40,Vadodara,Gujarat,Salaried,32959,670,1
102691,Dominic Mallick,Female,39,Kanpur,Uttar Pradesh,Salaried,77843,616,2
102692,Caleb Bhavsar,Female,36,Kolkata,West Bengal,Self Employed,46943,701,1
102693,Nirja Mitra,Male,23,Nashik,Maharashtra,Professional,53221,686,2
102694,Harsh Yadav,Female,26,Siliguri,West Bengal,Salaried,105151,700,1
102695,Zayan Chandran,Female,58,Madurai,Tamil Nadu,Salaried,194081,688,1
102696,Lipika Deol,Female,49,Coimbatore,Tamil Nadu,Professional,113532,732,0
102697,Parth Nadkarni,Male,54,Bengaluru,Karnataka,Salaried,109524,645,2
102698,Ekansh Nayak,Male,34,Delhi,Delhi,Salaried,212186,703,1
102699,Saumya Raja,Female,46,Hyderabad,Telangana,Professional,103027,796,0
102700,Yahvi Arya,Female,54,Indore,Madhya Pradesh,Business Owner,38022,748,0
102701,Ansh Dash,Male,29,Kolkata,West Bengal,Salaried,114553,790,3
102702,Warjas Sangha,Male,53,Chennai,Tamil Nadu,Salaried,83452,743,1
102703,Fariq Bhasin,Male,39,Noida,Uttar Pradesh,Self Employed,25226,776,3
102704,Kavya Tara,Female,29,Ahmedabad,Gujarat,Salaried,198000,723,2
102705,Saksham Doshi,Male,59,Nagpur,Maharashtra,Business Owner,36246,732,2
102706,Samarth Barad,Female,26,Delhi,Delhi,Salaried,87772,717,0
102707,Sachi Narasimhan,Male,43,Lucknow,Uttar Pradesh,Professional,175268,740,1
102708,Arunima Nadkarni,Male,29,Delhi,Delhi,Salaried,148121,758,0
102709,Oeshi Mani,Female,46,Mysuru,Karnataka,Business Owner,152198,759,2
102710,Veer Narula,Female,30,Indore,Madhya Pradesh,Salaried,142016,775,0
102711,Xavier Jha,Female,26,Madurai,Tamil Nadu,Self Employed,123130,607,3
102712,Yuvraj Kapadia,Male,34,Surat,Gujarat,Professional,216994,629,1
102713,Ekanta Goswami,Female,37,Agra,Uttar Pradesh,Business Owner,53985,708,2
102714,Abeer Bhattacharyya,Male,24,Delhi,Delhi,Self Employed,133527,713,0
102715,Ekaraj Hans,Male,34,Warangal,Telangana,Salaried,39611,573,0
102716,Lohit Jayaraman,Male,44,Hubballi,Karnataka,Self Employed,80451,562,0
102717,Gavin Ghose,Female,33,Warangal,Telangana,Self Employed,163128,690,1
102718,Warinder Tripathi,Female,57,Vadodara,Gujarat,Self Employed,40094,802,0
102719,Pooja Sibal,Male,21,Kanpur,Uttar Pradesh,Business Owner,24030,600,2
102720,Nitesh Hora,Male,58,Mangaluru,Karnataka,Business Owner,149850,755,0
102721,Panini Goda,Male,53,Agra,Uttar Pradesh,Self Employed,138529,811,0
102722,Chavvi Mangal,Female,37,Chennai,Tamil Nadu,Salaried,209749,796,1
102723,Saksham Magar,Male,34,Jaipur,Rajasthan,Professional,193356,747,2
102724,Fariq Parsa,Male,37,Mangaluru,Karnataka,Self Employed,61350,751,1
102725,Krishna Ganesh,Male,36,Hyderabad,Telangana,Salaried,218763,606,0
102726,Ridhi Sami,Female,27,Surat,Gujarat,Salaried,57542,677,1
102727,Nachiket Subramaniam,Female,32,Indore,Madhya Pradesh,Salaried,126489,686,0
102728,Lakshmi Sane,Male,43,Chennai,Tamil Nadu,Business Owner,203804,617,1
102729,Charita Yogi,Female,60,Jodhpur,Rajasthan,Professional,157100,650,0
102730,Parth Kurian,Male,26,Bhopal,Madhya Pradesh,Business Owner,169968,670,0
102731,Ubika Mohan,Male,58,Mumbai,Maharashtra,Salaried,130088,755,1
102732,Bhanumati Prashad,Male,50,Chennai,Tamil Nadu,Self Employed,144917,694,0
102733,Ekbal Nath,Female,42,Ahmedabad,Gujarat,Salaried,99127,622,0
102734,Upasna Hayre,Female,21,New Delhi,Delhi,Salaried,136584,721,2
102735,Ranveer Agrawal,Male,23,Hubballi,Karnataka,Salaried,94534,641,1
102736,Xiti Prasad,Male,60,Noida,Uttar Pradesh,Self Employed,115024,737,1
102737,Nidhi Sagar,Male,60,Ahmedabad,Gujarat,Self Employed,101140,740,1
102738,Kashvi Rajagopalan,Female,21,Bengaluru,Karnataka,Professional,35636,692,0
102739,Darika Bobal,Female,57,Bhopal,Madhya Pradesh,Salaried,103913,743,0
102740,Balvan Dash,Female,56,Lucknow,Uttar Pradesh,Professional,95724,732,1
102741,Nicholas Hari,Male,53,Kolkata,West Bengal,Business Owner,151693,695,0
102742,Aadhya Pall,Male,58,Hyderabad,Telangana,Salaried,201082,690,0
102743,Jyoti Bhardwaj,Male,59,Aurangabad,Maharashtra,Salaried,131711,746,1
102744,Panini Koshy,Female,31,Madurai,Tamil Nadu,Business Owner,61084,613,3
102745,Vanya Banerjee,Female,52,Surat,Gujarat,Salaried,126985,708,0
102746,Ayaan Divan,Male,39,Thane,Maharashtra,Salaried,80551,756,0
102747,Tamanna Din,Female,41,New Delhi,Delhi,Business Owner,118058,718,0
102748,Yug Edwin,Male,31,Mysuru,Karnataka,Self Employed,174509,744,1
102749,Jackson Chanda,Female,42,Bengaluru,Karnataka,Self Employed,178379,675,0
102750,Mitali Buch,Female,39,Ahmedabad,Gujarat,Self Employed,129936,710,2
102751,Pallavi Gandhi,Female,48,Jodhpur,Rajasthan,Salaried,205329,590,2
102752,Zayyan Mittal,Male,52,Jaipur,Rajasthan,Professional,38401,752,1
102753,Darika Sabharwal,Male,46,Siliguri,West Bengal,Business Owner,155137,712,0
102754,Ikbal Padmanabhan,Male,39,Warangal,Telangana,Salaried,26376,653,1
102755,Amruta Kadakia,Male,35,Noida,Uttar Pradesh,Self Employed,60405,648,0
102756,Darika Ahuja,Male,25,Delhi,Delhi,Salaried,145766,661,1
102757,Vyanjana Agarwal,Female,32,Pune,Maharashtra,Salaried,173062,615,0
102758,Ekaraj Sahni,Male,43,Udaipur,Rajasthan,Salaried,198437,701,0
102759,Bhavya Sankar,Male,37,Kolkata,West Bengal,Self Employed,46220,820,0
102760,Patrick Prasad,Female,31,Kolkata,West Bengal,Self Employed,38658,726,4
102761,Krish Hora,Male,51,Surat,Gujarat,Salaried,160731,705,1
102762,Qabil Thakkar,Female,28,New Delhi,Delhi,Self Employed,171670,653,2
102763,Shravya Kala,Male,60,Indore,Madhya Pradesh,Self Employed,118246,605,4
102764,Sai Bhargava,Male,42,Noida,Uttar Pradesh,Self Employed,84598,724,0
102765,Rehaan Lad,Female,52,Hyderabad,Telangana,Business Owner,47951,771,0
102766,Ridhi Chopra,Male,30,Coimbatore,Tamil Nadu,Salaried,187534,772,3
102767,Fariq Memon,Female,59,Rajkot,Gujarat,Professional,46807,526,0
102768,Krishna Dash,Male,58,Agra,Uttar Pradesh,Professional,194732,570,2
102769,Devansh Oommen,Male,26,Madurai,Tamil Nadu,Professional,129380,605,0
102770,Wahab Sridhar,Female,55,Chennai,Tamil Nadu,Professional,48909,671,3
102771,Harrison Andra,Female,31,New Delhi,Delhi,Self Employed,24595,659,0
102772,Amaira Amble,Male,38,New Delhi,Delhi,Self Employed,31645,759,0
102773,Gunbir Kakar,Male,53,Nagpur,Maharashtra,Salaried,93410,716,2
102774,Keya Venkatesh,Male,33,Kolkata,West Bengal,Salaried,161365,705,1
102775,Vedika Solanki,Male,59,Noida,Uttar Pradesh,Self Employed,212913,588,1
102776,Pushti Nayar,Female,25,Rajkot,Gujarat,Self Employed,107958,668,2
102777,Hemal Murty,Female,56,Mangaluru,Karnataka,Salaried,93587,626,0
102778,Jalsa Rastogi,Female,45,Ahmedabad,Gujarat,Self Employed,171795,568,2
102779,Dakshesh Parekh,Female,24,Navi Mumbai,Maharashtra,Salaried,138003,735,0
102780,Harish Aggarwal,Male,49,Hyderabad,Telangana,Salaried,63551,567,0
102781,Neelima Dewan,Male,44,Kolkata,West Bengal,Salaried,37791,711,0
102782,Jason Wali,Male,41,Hubballi,Karnataka,Salaried,149747,771,2
102783,Yuvraj Pillay,Female,31,Udaipur,Rajasthan,Self Employed,31187,664,2
102784,Vaishnavi Varma,Female,47,Warangal,Telangana,Salaried,105535,711,1
102785,Raghav Aggarwal,Male,57,New Delhi,Delhi,Self Employed,200918,619,1
102786,Anay Parsa,Female,30,Coimbatore,Tamil Nadu,Business Owner,106294,710,4
102787,Eshana Sawhney,Female,31,Udaipur,Rajasthan,Salaried,206242,740,2
102788,Vedhika Ratta,Male,29,Rajkot,Gujarat,Self Employed,39509,601,1
102789,Ijaya Sangha,Male,23,Ahmedabad,Gujarat,Salaried,139122,730,1
102790,Harish Rajan,Male,26,Delhi,Delhi,Salaried,22027,606,2
102791,Robert Dhar,Female,45,Mumbai,Maharashtra,Salaried,158048,752,0
102792,Joshua Tank,Male,27,Noida,Uttar Pradesh,Salaried,70742,654,1
102793,Charvi Sibal,Female,47,Jaipur,Rajasthan,Salaried,200116,612,1
102794,Sanaya D’Alia,Female,42,Jaipur,Rajasthan,Salaried,145523,707,1
102795,Wridesh Kohli,Male,39,Indore,Madhya Pradesh,Professional,139255,714,0
102796,Onkar Chakraborty,Female,50,Warangal,Telangana,Salaried,159754,499,2
102797,Radhika Balakrishnan,Male,42,Siliguri,West Bengal,Salaried,40637,714,2
102798,Eta Rajagopal,Male,43,Warangal,Telangana,Salaried,119078,722,0
102799,Thomas Kurian,Male,32,Agra,Uttar Pradesh,Salaried,39394,644,0
102800,Jatin Deshpande,Male,22,Rajkot,Gujarat,Business Owner,156778,687,2
102801,Gautam Natarajan,Male,49,Surat,Gujarat,Salaried,74937,689,0
102802,Dhruv Oza,Male,49,Ahmedabad,Gujarat,Salaried,63305,612,0
102803,Lakshmi Sarkar,Female,34,Indore,Madhya Pradesh,Salaried,117142,586,1
102804,Udant Lad,Female,29,Vadodara,Gujarat,Salaried,186729,694,1
102805,Bina Chahal,Male,46,Kanpur,Uttar Pradesh,Self Employed,91725,662,2
102806,Gaurav Oak,Male,49,Delhi,Delhi,Salaried,42865,660,0
102807,Jack Pillai,Female,25,Kolkata,West Bengal,Professional,53634,693,3
102808,Dhriti Rai,Female,42,Lucknow,Uttar Pradesh,Salaried,80269,675,2
102809,Deepa Bhatia,Male,49,Siliguri,West Bengal,Self Employed,37242,637,1
102810,Lipika Sampath,Male,33,Noida,Uttar Pradesh,Salaried,119830,613,1
102811,Janya Date,Male,38,Ahmedabad,Gujarat,Self Employed,132074,664,2
102812,Hredhaan Rana,Female,27,Delhi,Delhi,Salaried,100188,619,0
102813,Triveni Mutti,Male,33,Jaipur,Rajasthan,Business Owner,165510,678,4
102814,Chaman Kanda,Female,56,Hyderabad,Telangana,Salaried,142067,619,1
102815,Tamanna Din,Male,41,Coimbatore,Tamil Nadu,Salaried,30912,718,1
102816,Madhav Banerjee,Male,48,Delhi,Delhi,Salaried,18397,686,2
102817,Dayamai Thakkar,Male,58,Jodhpur,Rajasthan,Salaried,21989,697,0
102818,Anusha Sridhar,Male,23,Nagpur,Maharashtra,Salaried,50400,537,1
102819,Warda Manne,Male,48,Lucknow,Uttar Pradesh,Self Employed,89638,766,1
102820,Daniel Nath,Male,42,Navi Mumbai,Maharashtra,Salaried,76816,556,0
102821,Shivansh Kar,Male,53,Jodhpur,Rajasthan,Salaried,56392,626,0
102822,Praneel Sura,Male,33,New Delhi,Delhi,Business Owner,19638,748,0
102823,Chandani Dutta,Male,57,Lucknow,Uttar Pradesh,Salaried,158122,652,0
102824,Manya Nazareth,Female,25,Madurai,Tamil Nadu,Salaried,37724,731,2
102825,Urvashi Pall,Male,56,Rajkot,Gujarat,Self Employed,67400,729,0
102826,Mahika Bora,Male,60,Agra,Uttar Pradesh,Professional,24989,680,0
102827,Barkha Hayer,Male,28,Noida,Uttar Pradesh,Salaried,96495,685,3
102828,Gunbir Deep,Female,22,New Delhi,Delhi,Business Owner,75765,670,2
102829,Chatura Modi,Male,37,Delhi,Delhi,Business Owner,89704,616,2
102830,Nihal Devan,Male,24,Jodhpur,Rajasthan,Business Owner,31877,717,0
102831,Vasudha Manne,Male,39,Hubballi,Karnataka,Business Owner,79718,691,1
102832,Shaurya Kamdar,Male,54,Kanpur,Uttar Pradesh,Self Employed,96214,772,0
102833,Aditya Pathak,Female,37,Warangal,Telangana,Salaried,140570,722,3
102834,Manbir Puri,Female,45,Kanpur,Uttar Pradesh,Salaried,150097,652,1
102835,Om Bhalla,Female,25,Jodhpur,Rajasthan,Salaried,71101,706,1
102836,Ishani Som,Male,37,Kolkata,West Bengal,Self Employed,52520,779,2
102837,Charles Dalal,Female,31,Nagpur,Maharashtra,Self Employed,99429,666,0
102838,Radha Dixit,Female,36,Vadodara,Gujarat,Professional,103616,738,2
102839,Yash Bandi,Male,36,Hubballi,Karnataka,Self Employed,84288,623,0
102840,Wridesh Ranganathan,Male,26,Madurai,Tamil Nadu,Salaried,110728,806,0
102841,Chasmum Gera,Male,58,Madurai,Tamil Nadu,Professional,92972,750,0
102842,Gaurav Sheth,Male,59,Chennai,Tamil Nadu,Salaried,33291,710,1
102843,Anvi Saxena,Male,38,Delhi,Delhi,Salaried,34251,681,0
102844,Advay Dar,Male,23,Coimbatore,Tamil Nadu,Salaried,218714,606,2
102845,Fitan Dara,Female,38,Surat,Gujarat,Salaried,212264,722,1
102846,Yashodhara Kar,Male,27,Aurangabad,Maharashtra,Salaried,80808,659,0
102847,Varsha Mahal,Male,31,Madurai,Tamil Nadu,Business Owner,174518,672,0
102848,Pratyush Rajagopalan,Male,35,Agra,Uttar Pradesh,Professional,202443,698,0
102849,Radha Misra,Male,57,Lucknow,Uttar Pradesh,Salaried,42848,710,0
102850,Hardik Nanda,Male,34,New Delhi,Delhi,Salaried,146797,673,1
102851,Qasim Ravi,Male,43,Rajkot,Gujarat,Professional,25491,692,1
102852,Meera Yadav,Female,56,Nashik,Maharashtra,Self Employed,208258,654,1
102853,Devansh Venkataraman,Female,37,Hubballi,Karnataka,Salaried,55919,627,0
102854,Sarthak Dalal,Male,42,Jodhpur,Rajasthan,Business Owner,71566,629,0
102855,Pranit Ahluwalia,Female,44,Pune,Maharashtra,Salaried,217792,702,0
102856,Dipta Das,Male,47,Jodhpur,Rajasthan,Self Employed,75459,594,0
102857,Kabir Jhaveri,Male,37,Siliguri,West Bengal,Business Owner,166182,792,3
102858,Gagan Kunda,Male,43,Jodhpur,Rajasthan,Salaried,125955,788,4
102859,Frado Dash,Female,27,Warangal,Telangana,Salaried,87297,682,2
102860,Januja Garg,Female,21,Noida,Uttar Pradesh,Salaried,61533,636,0
102861,Aadi Kothari,Female,47,Rajkot,Gujarat,Business Owner,44003,617,0
102862,Chakradhar Venkataraman,Female,54,Indore,Madhya Pradesh,Salaried,114367,665,0
102863,Sai Dey,Female,57,New Delhi,Delhi,Business Owner,204004,677,0
102864,Dhriti Virk,Female,35,Hyderabad,Telangana,Self Employed,103316,630,4
102865,Yashvi Kadakia,Male,38,Jodhpur,Rajasthan,Salaried,39144,743,1
102866,Chaitanya Khalsa,Female,24,Coimbatore,Tamil Nadu,Salaried,214699,672,0
102867,Raghav Dhar,Female,49,Surat,Gujarat,Salaried,61169,733,3
102868,Tanveer Desai,Female,43,Hyderabad,Telangana,Self Employed,203194,657,4
102869,Jagrati Mall,Male,42,New Delhi,Delhi,Salaried,167621,669,1
102870,Pahal Borde,Male,40,Agra,Uttar Pradesh,Salaried,188959,669,0
102871,Abha Raj,Female,42,Rajkot,Gujarat,Self Employed,29192,710,1
102872,Mugdha Shan,Male,32,Delhi,Delhi,Self Employed,93570,801,0
102873,Aachal Sandal,Female,55,Siliguri,West Bengal,Salaried,197334,708,0
102874,Samar Bobal,Male,46,Kolkata,West Bengal,Salaried,187153,743,2
102875,Reyansh Pradhan,Female,34,Delhi,Delhi,Self Employed,202500,845,0
102876,Oni Dube,Female,40,Hyderabad,Telangana,Professional,76240,693,2
102877,Radha Raghavan,Male,56,Surat,Gujarat,Salaried,154114,586,0
102878,Yug Brahmbhatt,Male,32,Warangal,Telangana,Salaried,205541,578,4
102879,Jeet Wali,Male,29,Mysuru,Karnataka,Self Employed,213141,713,2
102880,Niharika Bhatti,Male,53,Udaipur,Rajasthan,Self Employed,90990,575,0
102881,Gaurav Patil,Female,44,Mangaluru,Karnataka,Self Employed,42702,661,3
102882,Anjali Dhingra,Female,29,Siliguri,West Bengal,Salaried,60272,593,2
102883,Anusha Anne,Male,44,Noida,Uttar Pradesh,Business Owner,161810,664,0
102884,Krishna Kapadia,Male,50,Nashik,Maharashtra,Business Owner,112149,711,1
102885,Henry Dasgupta,Female,25,Jaipur,Rajasthan,Self Employed,154217,682,1
102886,Damini Suri,Female,28,Siliguri,West Bengal,Salaried,217627,717,3
102887,Ikshita Manda,Female,35,Hyderabad,Telangana,Salaried,35873,784,1
102888,Hardik Bava,Male,40,Warangal,Telangana,Salaried,99182,691,1
102889,Eesha Ramachandran,Female,35,Hyderabad,Telangana,Professional,21376,733,1
102890,Hemani Wali,Female,42,Noida,Uttar Pradesh,Business Owner,93687,774,2
102891,Vansha Datta,Male,52,Hubballi,Karnataka,Salaried,159760,743,4
102892,Aditya Varghese,Female,26,Pune,Maharashtra,Self Employed,219817,678,3
102893,Jonathan Dhar,Male,58,Warangal,Telangana,Business Owner,29513,840,0
102894,Amara Bera,Female,53,Bhopal,Madhya Pradesh,Self Employed,75702,712,2
102895,Zaid Sahota,Male,31,Jodhpur,Rajasthan,Salaried,113004,640,0
102896,Qadim Sarna,Female,48,Vadodara,Gujarat,Self Employed,217757,636,0
102897,Upadhriti Thakkar,Female,23,Indore,Madhya Pradesh,Salaried,83677,724,1
102898,Anya Sangha,Male,23,Aurangabad,Maharashtra,Business Owner,124845,652,0
102899,Dalaja Chahal,Male,49,Lucknow,Uttar Pradesh,Salaried,163500,670,0
102900,Niharika Munshi,Female,31,Pune,Maharashtra,Salaried,99779,637,1
102901,Fariq Bose,Female,57,Rajkot,Gujarat,Self Employed,197146,713,0
102902,Girik Gandhi,Female,52,Jaipur,Rajasthan,Salaried,108312,645,3
102903,Frado Mangal,Female,35,Vadodara,Gujarat,Salaried,145718,727,3
102904,Advaith Samra,Male,24,Delhi,Delhi,Self Employed,182532,713,1
102905,Varsha Tank,Female,52,Udaipur,Rajasthan,Salaried,63517,794,3
102906,Nidra Atwal,Male,54,Aurangabad,Maharashtra,Salaried,143493,557,4
102907,Abhimanyu Sandal,Male,30,Hyderabad,Telangana,Self Employed,35766,670,1
102908,Yash Wable,Male,50,Aurangabad,Maharashtra,Salaried,99142,605,3
102909,Saumya Ganguly,Female,38,Nagpur,Maharashtra,Self Employed,52727,663,0
102910,Parth Borde,Female,37,Jodhpur,Rajasthan,Self Employed,216060,646,0
102911,Kiaan Varkey,Male,25,Delhi,Delhi,Salaried,136905,755,0
102912,Charan Sami,Male,28,Thane,Maharashtra,Salaried,165064,738,0
102913,Ladli Garde,Female,60,Bhopal,Madhya Pradesh,Professional,47514,703,4
102914,Isaiah Nigam,Male,25,Kolkata,West Bengal,Salaried,158858,751,0
102915,Jacob Mannan,Male,37,Chennai,Tamil Nadu,Business Owner,174694,753,0
102916,Vasudha Memon,Female,59,Chennai,Tamil Nadu,Professional,154894,734,1
102917,Tanay Agate,Male,59,Aurangabad,Maharashtra,Business Owner,40122,722,2
102918,Teerth Mody,Male,47,Jabalpur,Madhya Pradesh,Professional,54518,651,0
102919,Ubika Sura,Female,52,Hyderabad,Telangana,Professional,150334,718,3
102920,Ishani Ahuja,Female,27,Lucknow,Uttar Pradesh,Self Employed,65803,835,2
102921,Falguni Misra,Male,42,Agra,Uttar Pradesh,Self Employed,46651,755,0
